OPDATE,VESSEL,CRUISE,SERIAL,PORT,STATIONDEPTH,FLOWSTART,FLOWEND,DISTANCEPARM,TOTALCOUNT,ITIS,REFNAME
23-Jul-17,88,6,588,320,18,413662,414085,0.01451,41,85257,Copepoda or copepods
23-Jul-17,88,6,588,320,18,413662,414085,0.01451,172,59417,Conochilus
23-Jul-17,88,6,588,320,18,413662,414085,0.01451,15,59434,Collotheca
23-Jul-17,88,6,588,320,18,413662,414085,0.01451,5,58348,Keratella
23-Jul-17,88,6,588,320,18,413662,414085,0.01451,13,59270,Polyarthra
23-Jul-17,88,6,588,320,18,413662,414085,0.01451,2,59175,Gastropus
23-Jul-17,88,6,588,320,18,413662,414085,0.01451,13,59255,Synchaeta
23-Jul-17,88,6,588,320,18,413662,414085,0.01451,7,58485,Kellicottia
23-Jul-17,88,6,588,320,18,413662,414085,0.01451,4,59282,Ploesoma
17-Jul-17,88,6,478,330,46,586939,587692,0.01451,1521,59417,Conochilus
17-Jul-17,88,6,478,330,46,586939,587692,0.01451,21,59434,Collotheca
17-Jul-17,88,6,478,330,46,586939,587692,0.01451,10,59270,Polyarthra
17-Jul-17,88,6,478,330,46,586939,587692,0.01451,9,59175,Gastropus
17-Jul-17,88,6,478,330,46,586939,587692,0.01451,36,59255,Synchaeta
17-Jul-17,88,6,478,330,46,586939,587692,0.01451,1,58485,Kellicottia
17-Jul-17,88,6,478,330,46,586939,587692,0.01451,1,59282,Ploesoma
17-Jul-17,88,6,478,330,46,586939,587692,0.01451,1,59074,Trichocerca
17-Jul-17,88,6,478,330,46,586939,587692,0.01451,289,81338,Dreissena
17-Jul-17,88,6,479,330,46,587700,588642,0.01451,263,85257,Copepoda or copepods
17-Jul-17,88,6,479,330,46,587700,588642,0.01451,51,59417,Conochilus
24-Jul-17,88,6,607,305,82,466925,467897,0.01451,193,85257,Copepoda or copepods
24-Jul-17,88,6,607,305,82,466925,467897,0.01451,364,59417,Conochilus
24-Jul-17,88,6,607,305,82,466925,467897,0.01451,7,59434,Collotheca
24-Jul-17,88,6,607,305,82,466925,467897,0.01451,3,58348,Keratella
24-Jul-17,88,6,607,305,82,466925,467897,0.01451,8,59270,Polyarthra
24-Jul-17,88,6,607,305,82,466925,467897,0.01451,6,59175,Gastropus
24-Jul-17,88,6,607,305,82,466925,467897,0.01451,29,59255,Synchaeta
24-Jul-17,88,6,607,305,82,466925,467897,0.01451,60,58485,Kellicottia
11-Jul-17,88,6,393,360,82,28167,28956,0.01451,197,85257,Copepoda or copepods
11-Jul-17,88,6,393,360,82,28167,28956,0.01451,71,59417,Conochilus
11-Jul-17,88,6,393,360,82,28167,28956,0.01451,5,59434,Collotheca
11-Jul-17,88,6,393,360,82,28167,28956,0.01451,4,59270,Polyarthra
11-Jul-17,88,6,393,360,82,28167,28956,0.01451,2,59175,Gastropus
11-Jul-17,88,6,393,360,82,28167,28956,0.01451,5,59255,Synchaeta
11-Jul-17,88,6,393,360,82,28167,28956,0.01451,3,58485,Kellicottia
11-Jul-17,88,6,393,360,82,28167,28956,0.01451,123,81338,Dreissena
10-Jul-17,88,6,379,364,82,902126,903344,0.01451,350,85257,Copepoda or copepods
10-Jul-17,88,6,379,364,82,902126,903344,0.01451,5,59417,Conochilus
10-Jul-17,88,6,379,364,82,902126,903344,0.01451,2,59434,Collotheca
10-Jul-17,88,6,379,364,82,902126,903344,0.01451,1,58348,Keratella
10-Jul-17,88,6,379,364,82,902126,903344,0.01451,10,59270,Polyarthra
10-Jul-17,88,6,379,364,82,902126,903344,0.01451,2,59175,Gastropus
10-Jul-17,88,6,379,364,82,902126,903344,0.01451,7,59255,Synchaeta
24-Jul-17,88,6,607,305,82,466925,467897,0.01451,60,58485,Kellicottia
24-Jul-17,88,6,607,305,82,466925,467897,0.01451,3,59282,Ploesoma
24-Jul-17,88,6,607,305,82,466925,467897,0.01451,46,81338,Dreissena
26-Jul-17,88,6,631,305,18,721650,721927,0.01451,37,85257,Copepoda or copepods
22-Jul-17,88,6,577,320,46,326273,327034,0.01451,91,85257,Copepoda or copepods
22-Jul-17,88,6,577,320,46,326273,327034,0.01451,258,59417,Conochilus
22-Jul-17,88,6,577,320,46,326273,327034,0.01451,9,59434,Collotheca
22-Jul-17,88,6,577,320,46,326273,327034,0.01451,2,58348,Keratella
22-Jul-17,88,6,577,320,46,326273,327034,0.01451,6,59270,Polyarthra
22-Jul-17,88,6,577,320,46,326273,327034,0.01451,4,59175,Gastropus
22-Jul-17,88,6,577,320,46,326273,327034,0.01451,31,59255,Synchaeta
10-Jul-17,88,6,361,364,18,838365,838788,0.01451,225,59417,Conochilus
10-Jul-17,88,6,361,364,18,838365,838788,0.01451,6,59434,Collotheca
10-Jul-17,88,6,361,364,18,838365,838788,0.01451,9,59270,Polyarthra
10-Jul-17,88,6,361,364,18,838365,838788,0.01451,5,59175,Gastropus
10-Jul-17,88,6,361,364,18,838365,838788,0.01451,14,59255,Synchaeta
10-Jul-17,88,6,361,364,18,838365,838788,0.01451,35,58485,Kellicottia
10-Jul-17,88,6,361,364,18,838365,838788,0.01451,80,81338,Dreissena
9-Jul-17,88,6,351,364,46,739404,740342,0.01451,146,85257,Copepoda or copepods
17-Jun-17,37,4,129,384,46,286974,287410,0.01482,55,81338,Dreissena
16-Jun-17,37,4,115,384,18,176523,176812,0.01482,215,85257,Copepoda or copepods
22-Jul-17,88,6,577,320,46,326273,327034,0.01451,31,59255,Synchaeta
22-Jul-17,88,6,577,320,46,326273,327034,0.01451,1,58485,Kellicottia
22-Jul-17,88,6,577,320,46,326273,327034,0.01451,38,81338,Dreissena
22-Jul-17,88,6,578,320,46,325399,326261,0.01451,156,85257,Copepoda or copepods
22-Jul-17,88,6,578,320,46,325399,326261,0.01451,8,59417,Conochilus
22-Jul-17,88,6,578,320,46,325399,326261,0.01451,10,59434,Collotheca
22-Jul-17,88,6,578,320,46,325399,326261,0.01451,1,58348,Keratella
22-Jul-17,88,6,578,320,46,325399,326261,0.01451,6,59175,Gastropus
22-Jul-17,88,6,578,320,46,325399,326261,0.01451,115,59255,Synchaeta
22-Jul-17,88,6,578,320,46,325399,326261,0.01451,2,58485,Kellicottia
22-Jul-17,88,6,578,320,46,325399,326261,0.01451,1,59454,Stephanoceros
22-Jul-17,88,6,578,320,46,325399,326261,0.01451,1,59270,Polyarthra
22-Jul-17,88,6,578,320,46,325399,326261,0.01451,30,81338,Dreissena
9-Jul-17,88,6,351,364,46,739404,740342,0.01451,146,85257,Copepoda or copepods
9-Jul-17,88,6,351,364,46,739404,740342,0.01451,28,59417,Conochilus
9-Jul-17,88,6,351,364,46,739404,740342,0.01451,7,59434,Collotheca
9-Jul-17,88,6,351,364,46,739404,740342,0.01451,12,59270,Polyarthra
9-Jul-17,88,6,351,364,46,739404,740342,0.01451,2,59175,Gastropus
9-Jul-17,88,6,351,364,46,739404,740342,0.01451,8,59255,Synchaeta
9-Jul-17,88,6,351,364,46,739404,740342,0.01451,3,58485,Kellicottia
9-Jul-17,88,6,351,364,46,739404,740342,0.01451,19,81338,Dreissena
17-Jul-17,88,6,479,330,46,587700,588642,0.01451,51,59417,Conochilus
17-Jul-17,88,6,479,330,46,587700,588642,0.01451,18,59434,Collotheca
17-Jul-17,88,6,479,330,46,587700,588642,0.01451,1,59270,Polyarthra
17-Jul-17,88,6,479,330,46,587700,588642,0.01451,1,59167,Ascomorpha
17-Jul-17,88,6,479,330,46,587700,588642,0.01451,3,59175,Gastropus
17-Jul-17,88,6,479,330,46,587700,588642,0.01451,87,59255,Synchaeta
17-Jul-17,88,6,479,330,46,587700,588642,0.01451,25,81338,Dreissena
18-Jul-17,88,6,489,330,18,707013,707494,0.01451,121,85257,Copepoda or copepods
18-Jul-17,88,6,489,330,18,707013,707494,0.01451,55,59417,Conochilus
16-Jun-17,37,4,115,384,18,176523,176812,0.01482,215,85257,Copepoda or copepods
16-Jun-17,37,4,115,384,18,176523,176812,0.01482,13,59417,Conochilus
16-Jun-17,37,4,115,384,18,176523,176812,0.01482,10,58348,Keratella
16-Jun-17,37,4,115,384,18,176523,176812,0.01482,17,59270,Polyarthra
16-Jun-17,37,4,115,384,18,176523,176812,0.01482,25,59175,Gastropus
16-Jun-17,37,4,115,384,18,176523,176812,0.01482,2,59255,Synchaeta
16-Jun-17,37,4,115,384,18,176523,176812,0.01482,1,59235,Asplanchna
16-Jun-17,37,4,115,384,18,176523,176812,0.01482,38,58485,Kellicottia
16-Jun-17,37,4,115,384,18,176523,176812,0.01482,136,81338,Dreissena
16-Jun-17,37,4,106,388,46,148940,149154,0.01482,157,85257,Copepoda or copepods
16-Jun-17,37,4,106,388,46,148940,149154,0.01482,1,59417,Conochilus
16-Jun-17,37,4,106,388,46,148940,149154,0.01482,2,59434,Collotheca
16-Jun-17,37,4,106,388,46,148940,149154,0.01482,18,58348,Keratella
16-Jun-17,37,4,106,388,46,148940,149154,0.01482,9,59270,Polyarthra
16-Jun-17,37,4,106,388,46,148940,149154,0.01482,4,59167,Ascomorpha
16-Jun-17,37,4,106,388,46,148940,149154,0.01482,3,58396,Notholca
16-Jun-17,37,4,106,388,46,148940,149154,0.01482,35,59255,Synchaeta
16-Jun-17,37,4,106,388,46,148940,149154,0.01482,3,58485,Kellicottia
16-Jun-17,37,4,106,388,46,148940,149154,0.01482,18,81338,Dreissena
10-Jul-17,88,6,379,364,82,902126,903344,0.01451,7,59255,Synchaeta
10-Jul-17,88,6,379,364,82,902126,903344,0.01451,6,58485,Kellicottia
10-Jul-17,88,6,379,364,82,902126,903344,0.01451,16,81338,Dreissena
10-Jul-17,88,6,378,364,82,901346,902121,0.01451,136,85257,Copepoda or copepods
10-Jul-17,88,6,378,364,82,901346,902121,0.01451,35,59417,Conochilus
10-Jul-17,88,6,378,364,82,901346,902121,0.01451,13,59434,Collotheca
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,55,85257,Copepoda or copepods
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,281,59417,Conochilus
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,3,59434,Collotheca
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,1,58348,Keratella
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,5,59270,Polyarthra
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,1,58578,Euchlanis
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,4,59167,Ascomorpha
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,1,59175,Gastropus
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,4,59255,Synchaeta
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,1,58485,Kellicottia
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,5,59282,Ploesoma
13-Jul-17,88,6,418,360,18,250783,251232,0.01451,20,81338,Dreissena
14-Jul-17,88,6,435,356,82,309808,310813,0.01451,194,85257,Copepoda or copepods
10-Jul-17,88,6,378,364,82,901346,902121,0.01451,13,59434,Collotheca
10-Jul-17,88,6,378,364,82,901346,902121,0.01451,1,58348,Keratella
10-Jul-17,88,6,378,364,82,901346,902121,0.01451,5,59270,Polyarthra
10-Jul-17,88,6,378,364,82,901346,902121,0.01451,7,59175,Gastropus
10-Jul-17,88,6,378,364,82,901346,902121,0.01451,26,59255,Synchaeta
10-Jul-17,88,6,378,364,82,901346,902121,0.01451,6,58485,Kellicottia
10-Jul-17,88,6,378,364,82,901346,902121,0.01451,154,81338,Dreissena
11-Jul-17,88,6,394,360,82,28950,29930,0.01451,1,59270,Polyarthra
11-Jul-17,88,6,394,360,82,28950,29930,0.01451,1,59175,Gastropus
11-Jul-17,88,6,394,360,82,28950,29930,0.01451,1,58485,Kellicottia
11-Jul-17,88,6,394,360,82,28950,29930,0.01451,3,81338,Dreissena
12-Jul-17,88,6,407,360,46,158587,159556,0.01451,151,85257,Copepoda or copepods
12-Jul-17,88,6,407,360,46,158587,159556,0.01451,555,59417,Conochilus
12-Jul-17,88,6,407,360,46,158587,159556,0.01451,7,59434,Collotheca
12-Jul-17,88,6,407,360,46,158587,159556,0.01451,2,59270,Polyarthra
12-Jul-17,88,6,407,360,46,158587,159556,0.01451,15,59175,Gastropus
12-Jul-17,88,6,407,360,46,158587,159556,0.01451,1,59255,Synchaeta
12-Jul-17,88,6,407,360,46,158587,159556,0.01451,8,58485,Kellicottia
12-Jul-17,88,6,407,360,46,158587,159556,0.01451,206,81338,Dreissena
12-Jul-17,88,6,408,360,46,159557,160840,0.01451,171,85257,Copepoda or copepods
16-Jun-17,37,4,105,388,46,148348,148941,0.01482,113,85257,Copepoda or copepods
16-Jun-17,37,4,105,388,46,148348,148941,0.01482,42,59417,Conochilus
16-Jun-17,37,4,105,388,46,148348,148941,0.01482,19,58348,Keratella
16-Jun-17,37,4,105,388,46,148348,148941,0.01482,16,59270,Polyarthra
16-Jun-17,37,4,105,388,46,148348,148941,0.01482,14,59175,Gastropus
16-Jun-17,37,4,105,388,46,148348,148941,0.01482,21,59255,Synchaeta
16-Jun-17,37,4,105,388,46,148348,148941,0.01482,1,59235,Asplanchna
16-Jun-17,37,4,105,388,46,148348,148941,0.01482,56,58485,Kellicottia
16-Jun-17,37,4,105,388,46,148348,148941,0.01482,1,59282,Ploesoma
16-Jun-17,37,4,105,388,46,148348,148941,0.01482,27,81338,Dreissena
14-Jun-17,36,2,293,364,46,295828,296515,0.01316,227,85257,Copepoda or copepods
14-Jun-17,36,2,293,364,46,295828,296515,0.01316,4,59417,Conochilus
14-Jun-17,36,2,293,364,46,295828,296515,0.01316,2,58348,Keratella
14-Jun-17,36,2,293,364,46,295828,296515,0.01316,2,59270,Polyarthra
14-Jun-17,36,2,293,364,46,295828,296515,0.01316,4,59255,Synchaeta
14-Jun-17,36,2,293,364,46,295828,296515,0.01316,1,59235,Asplanchna
14-Jun-17,36,2,293,364,46,295828,296515,0.01316,4,58485,Kellicottia
14-Jun-17,36,2,293,364,46,295828,296515,0.01316,16,81338,Dreissena
14-Jul-17,88,6,435,356,82,309808,310813,0.01451,194,85257,Copepoda or copepods
18-Jul-17,88,6,489,330,18,707013,707494,0.01451,12,59434,Collotheca
18-Jul-17,88,6,489,330,18,707013,707494,0.01451,12,59270,Polyarthra
18-Jul-17,88,6,489,330,18,707013,707494,0.01451,4,59167,Ascomorpha
18-Jul-17,88,6,489,330,18,707013,707494,0.01451,7,59175,Gastropus
18-Jul-17,88,6,489,330,18,707013,707494,0.01451,15,59255,Synchaeta
18-Jul-17,88,6,489,330,18,707013,707494,0.01451,5,59282,Ploesoma
14-Jun-17,36,2,294,364,46,296515,297048,0.01316,182,85257,Copepoda or copepods
18-Jul-17,88,6,489,330,18,707013,707494,0.01451,5,59282,Ploesoma
18-Jul-17,88,6,489,330,18,707013,707494,0.01451,439,81338,Dreissena
18-Jul-17,88,6,506,330,82,792589,793310,0.01451,48,85257,Copepoda or copepods
18-Jul-17,88,6,506,330,82,792589,793310,0.01451,232,59417,Conochilus
18-Jul-17,88,6,506,330,82,792589,793310,0.01451,9,59434,Collotheca
18-Jul-17,88,6,506,330,82,792589,793310,0.01451,10,59270,Polyarthra
18-Jul-17,88,6,506,330,82,792589,793310,0.01451,1,59175,Gastropus
18-Jul-17,88,6,506,330,82,792589,793310,0.01451,59,59255,Synchaeta
18-Jul-17,88,6,506,330,82,792589,793310,0.01451,36,81338,Dreissena
18-Jul-17,88,6,507,330,82,793310,794195,0.01451,331,85257,Copepoda or copepods
18-Jul-17,88,6,507,330,82,793310,794195,0.01451,11,59417,Conochilus
18-Jul-17,88,6,507,330,82,793310,794195,0.01451,23,59434,Collotheca
18-Jul-17,88,6,507,330,82,793310,794195,0.01451,2,59270,Polyarthra
18-Jul-17,88,6,507,330,82,793310,794195,0.01451,30,59175,Gastropus
18-Jul-17,88,6,507,330,82,793310,794195,0.01451,115,59255,Synchaeta
18-Jul-17,88,6,507,330,82,793310,794195,0.01451,3,81338,Dreissena
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,75,85257,Copepoda or copepods
14-Jun-17,36,2,294,364,46,296515,297048,0.01316,9,59417,Conochilus
14-Jun-17,36,2,294,364,46,296515,297048,0.01316,4,59434,Collotheca
14-Jun-17,36,2,294,364,46,296515,297048,0.01316,1,58348,Keratella
14-Jun-17,36,2,294,364,46,296515,297048,0.01316,2,59270,Polyarthra
14-Jun-17,36,2,294,364,46,296515,297048,0.01316,7,59255,Synchaeta
14-Jun-17,36,2,294,364,46,296515,297048,0.01316,7,58485,Kellicottia
14-Jun-17,36,2,294,364,46,296515,297048,0.01316,26,81338,Dreissena
14-Jun-17,36,2,303,364,18,307951,308224,0.01316,249,85257,Copepoda or copepods
14-Jun-17,36,2,303,364,18,307951,308224,0.01316,19,59417,Conochilus
14-Jun-17,36,2,303,364,18,307951,308224,0.01316,4,59434,Collotheca
14-Jun-17,36,2,303,364,18,307951,308224,0.01316,8,58348,Keratella
14-Jun-17,36,2,303,364,18,307951,308224,0.01316,9,59270,Polyarthra
14-Jun-17,36,2,303,364,18,307951,308224,0.01316,1,59175,Gastropus
14-Jun-17,36,2,303,364,18,307951,308224,0.01316,26,59255,Synchaeta
14-Jun-17,36,2,303,364,18,307951,308224,0.01316,1,59235,Asplanchna
14-Jun-17,36,2,303,364,18,307951,308224,0.01316,32,58485,Kellicottia
14-Jun-17,36,2,303,364,18,307951,308224,0.01316,142,81338,Dreissena
12-Jul-17,88,6,408,360,46,159557,160840,0.01451,171,85257,Copepoda or copepods
12-Jul-17,88,6,408,360,46,159557,160840,0.01451,31,59417,Conochilus
13-Jun-17,37,4,62,305,18,875434,875908,0.01482,183,85257,Copepoda or copepods
13-Jun-17,37,4,62,305,18,875434,875908,0.01482,21,59417,Conochilus
13-Jun-17,37,4,62,305,18,875434,875908,0.01482,3,59270,Polyarthra
13-Jun-17,37,4,62,305,18,875434,875908,0.01482,2,59175,Gastropus
13-Jun-17,37,4,62,305,18,875434,875908,0.01482,13,59255,Synchaeta
14-Jul-17,88,6,435,356,82,309808,310813,0.01451,40,59417,Conochilus
14-Jul-17,88,6,435,356,82,309808,310813,0.01451,21,59434,Collotheca
14-Jul-17,88,6,435,356,82,309808,310813,0.01451,9,59270,Polyarthra
14-Jul-17,88,6,435,356,82,309808,310813,0.01451,5,59175,Gastropus
14-Jul-17,88,6,435,356,82,309808,310813,0.01451,14,59255,Synchaeta
14-Jul-17,88,6,435,356,82,309808,310813,0.01451,40,81338,Dreissena
14-Jul-17,88,6,436,356,82,320315,321595,0.01451,301,85257,Copepoda or copepods
14-Jul-17,88,6,436,356,82,320315,321595,0.01451,3,59434,Collotheca
14-Jul-17,88,6,436,356,82,320315,321595,0.01451,2,59270,Polyarthra
14-Jul-17,88,6,436,356,82,320315,321595,0.01451,6,59175,Gastropus
14-Jul-17,88,6,436,356,82,320315,321595,0.01451,4,59255,Synchaeta
14-Jul-17,88,6,436,356,82,320315,321595,0.01451,1,58485,Kellicottia
14-Jul-17,88,6,436,356,82,320315,321595,0.01451,4,81338,Dreissena
19-Jul-17,88,6,521,326,73,926104,926764,0.01451,58,85257,Copepoda or copepods
19-Jul-17,88,6,521,326,73,926104,926764,0.01451,459,59417,Conochilus
19-Jul-17,88,6,521,326,73,926104,926764,0.01451,9,59434,Collotheca
12-Jul-17,88,6,408,360,46,159557,160840,0.01451,31,59417,Conochilus
12-Jul-17,88,6,408,360,46,159557,160840,0.01451,19,59434,Collotheca
12-Jul-17,88,6,408,360,46,159557,160840,0.01451,7,59270,Polyarthra
12-Jul-17,88,6,408,360,46,159557,160840,0.01451,1,59167,Ascomorpha
12-Jul-17,88,6,408,360,46,159557,160840,0.01451,6,59175,Gastropus
12-Jul-17,88,6,408,360,46,159557,160840,0.01451,2,59255,Synchaeta
12-Jul-17,88,6,408,360,46,159557,160840,0.01451,6,58485,Kellicottia
12-Jul-17,88,6,408,360,46,159557,160840,0.01451,9,81338,Dreissena
13-Jun-17,37,4,62,305,18,875434,875908,0.01482,13,59255,Synchaeta
13-Jun-17,37,4,62,305,18,875434,875908,0.01482,12,59235,Asplanchna
13-Jun-17,37,4,62,305,18,875434,875908,0.01482,10,58485,Kellicottia
13-Jun-17,37,4,62,305,18,875434,875908,0.01482,330,81338,Dreissena
14-Jun-17,37,4,75,305,46,992694,993641,0.01482,221,85257,Copepoda or copepods
14-Jun-17,37,4,75,305,46,992694,993641,0.01482,2,59417,Conochilus
14-Jun-17,37,4,75,305,46,992694,993641,0.01482,1,59434,Collotheca
14-Jun-17,37,4,75,305,46,992694,993641,0.01482,2,59270,Polyarthra
14-Jun-17,37,4,75,305,46,992694,993641,0.01482,1,59175,Gastropus
14-Jun-17,37,4,75,305,46,992694,993641,0.01482,1,59235,Asplanchna
14-Jun-17,37,4,75,305,46,992694,993641,0.01482,13,58485,Kellicottia
14-Jun-17,37,4,75,305,46,992694,993641,0.01482,1,59282,Ploesoma
14-Jun-17,37,4,75,305,46,992694,993641,0.01482,155,81338,Dreissena
14-Jun-17,37,4,76,305,46,993642,994248,0.01482,212,85257,Copepoda or copepods
19-Jul-17,88,6,521,326,73,926104,926764,0.01451,9,59434,Collotheca
19-Jul-17,88,6,521,326,73,926104,926764,0.01451,8,59270,Polyarthra
19-Jul-17,88,6,521,326,73,926104,926764,0.01451,1,59167,Ascomorpha
19-Jul-17,88,6,521,326,73,926104,926764,0.01451,18,59175,Gastropus
19-Jul-17,88,6,521,326,73,926104,926764,0.01451,7,59255,Synchaeta
19-Jul-17,88,6,521,326,73,926104,926764,0.01451,1,59282,Ploesoma
19-Jul-17,88,6,521,326,73,926104,926764,0.01451,25,81338,Dreissena
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,291,85257,Copepoda or copepods
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,44,59417,Conochilus
14-Jun-17,37,4,76,305,46,993642,994248,0.01482,212,85257,Copepoda or copepods
14-Jun-17,37,4,76,305,46,993642,994248,0.01482,1,58348,Keratella
14-Jun-17,37,4,76,305,46,993642,994248,0.01482,12,59255,Synchaeta
14-Jun-17,37,4,76,305,46,993642,994248,0.01482,1,58485,Kellicottia
14-Jun-17,37,4,76,305,46,993642,994248,0.01482,1,59282,Ploesoma
14-Jun-17,37,4,76,305,46,993642,994248,0.01482,47,81338,Dreissena
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,75,85257,Copepoda or copepods
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,1250,59417,Conochilus
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,14,59434,Collotheca
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,2,58348,Keratella
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,8,59270,Polyarthra
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,2,59167,Ascomorpha
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,6,59175,Gastropus
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,82,59255,Synchaeta
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,20,58485,Kellicottia
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,20,59282,Ploesoma
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,1,58747,Monostyla
25-Jul-17,88,6,620,305,46,620407,621206,0.01451,49,81338,Dreissena
25-Jul-17,88,6,621,305,46,621208,622059,0.01451,69,85257,Copepoda or copepods
25-Jul-17,88,6,621,305,46,621208,622059,0.01451,813,59417,Conochilus
25-Jul-17,88,6,621,305,46,621208,622059,0.01451,11,59434,Collotheca
25-Jul-17,88,6,621,305,46,621208,622059,0.01451,4,58348,Keratella
25-Jul-17,88,6,621,305,46,621208,622059,0.01451,14,59270,Polyarthra
15-Jun-17,37,4,88,388,18,23565,24061,0.01482,1,59074,Trichocerca
15-Jun-17,37,4,88,388,18,23565,24061,0.01482,10,81338,Dreissena
10-May-17,36,1,79,320,46,839384,839999,0.01531,303,85257,Copepoda or copepods
10-May-17,36,1,79,320,46,839384,839999,0.01531,1,58485,Kellicottia
8-May-17,36,1,7,305,82,79559,80028,0.01531,304,85257,Copepoda or copepods
8-May-17,36,1,7,305,82,79559,80028,0.01531,13,58485,Kellicottia
25-Jul-17,88,6,621,305,46,621208,622059,0.01451,14,59270,Polyarthra
25-Jul-17,88,6,621,305,46,621208,622059,0.01451,17,59175,Gastropus
25-Jul-17,88,6,621,305,46,621208,622059,0.01451,19,59255,Synchaeta
